method,file,best_roi,hr,gt_hr,error_for_roi_forehead,error_for_roi_left_cheek,error_for_roi_right_cheek
green,IMG_9575.mp4,right_cheek,119.53125,66.0,2.71875,2.71875,53.53125
pos,IMG_6020.mp4,left_cheek,70.3125,71.0,0.6875,0.6875,0.6875
chrom,IMG_6020.mp4,left_cheek,63.28125,71.0,7.71875,7.71875,0.6875
ica,IMG_6020.mp4,left_cheek,63.28125,71.0,0.6875,7.71875,0.6875
green,IMG_6020.mp4,left_cheek,70.3125,71.0,0.6875,0.6875,0.6875
pos,Video.mov,left_cheek,84.375,60.0,3.28125,24.375,10.3125
chrom,Video.mov,left_cheek,56.25,60.0,3.75,3.75,10.3125
ica,Video.mov,right_cheek,63.28125,60.0,3.28125,3.75,3.28125
green,Video.mov,left_cheek,56.25,60.0,3.28125,3.75,59.53125
pos,20241206_104904.mp4,right_cheek,119.53125,62.0,57.53125,57.53125,57.53125
chrom,20241206_104904.mp4,right_cheek,56.25,62.0,5.75,5.75,5.75
ica,20241206_104904.mp4,right_cheek,56.25,62.0,1.28125,5.75,5.75
green,20241206_104904.mp4,right_cheek,56.25,62.0,8.3125,5.75,5.75
