roi_a,roi_b,mode,videos,n_windows,median_lag_ms,iqr_lag_ms,mean_pct_within_1frame,mean_pct_high_r,median_global_lag_ms,median_global_r
forehead,left_cheek,filtered,8,598,-0.4743249188799906,14.611509750484604,96.16242824414267,90.30968034200794,32.09911948594977,0.8919495269679018
forehead,left_cheek,unfiltered,8,603,-0.06691286907489769,13.117083453188155,96.62214404504351,66.2585042336157,30.21990284601162,0.8176314802986732
forehead,right_cheek,filtered,8,598,-0.5531846068582997,13.985066487843937,94.17613636363636,84.4623671168615,24.457762591939947,0.9113726997496437
forehead,right_cheek,unfiltered,8,603,-0.29958086194862654,15.052214989004668,93.4675051072523,62.299874209755146,24.057743996546677,0.8198898750231943
left_cheek,right_cheek,filtered,8,599,0.43633427886626086,19.49650446099499,89.72201138154708,77.32968753454384,-3.6123913342632834,0.8439464212464733
left_cheek,right_cheek,unfiltered,8,636,-1.1095824403560162,18.8811431456651,88.18189775910363,46.259467055554424,-1.1343694342949462,0.7300445553360666
