dataset,roi_a,roi_b,mode,videos,n_windows,median_global_lag_ms,median_global_r,median_residual_lag_ms,median_iqr_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,median_rms_residual_lag_ms,mean_pct_within_1frame,mean_pct_over_1frame,mean_pct_over_2frames,mean_pct_high_r
DATASET_1,forehead,chin,filtered,7,509,27.91284009594399,0.8789431950149661,0.42697294102680416,19.364994925177573,9.00641901715975,11.722247081276027,3.2088386660581403,14.11188550383563,94.78305812049655,5.216941879503456,0.9276437847866418,84.18337061228895
DATASET_1,forehead,chin,unfiltered,6,437,31.56663102629424,0.8280791940925958,0.3357515837566716,14.56496571803307,7.82019052808085,9.66165701834698,2.7162056426330414,13.21678927176222,97.62680167852581,2.373198321474183,0.0,75.7237851046193
DATASET_1,forehead,left_cheek,filtered,8,598,32.099119485940086,0.8919495269679025,-0.4743249189230007,14.611509750653095,7.978540033684078,10.713804366458236,2.8208036984500695,13.48914887901745,96.16242824414267,3.837571755857331,0.0,90.30968034200794
DATASET_1,forehead,left_cheek,unfiltered,8,603,30.21990284597716,0.8176314802986775,-0.06691286914410158,13.117083453309256,7.064674962897163,9.617585270832837,2.339871116560614,12.491311812109764,96.62214404504351,3.3778559549564893,0.0,66.2585042336157
DATASET_1,forehead,right_cheek,filtered,7,526,25.212381092327085,0.9168634899442202,-0.40308430842680804,13.317030218488815,6.381629479501146,8.202767523334792,1.8147528893606286,9.775445594457109,98.7012987012987,1.298701298701299,0.0,96.52841956212743
DATASET_1,forehead,right_cheek,unfiltered,7,531,24.697527787384566,0.8289428917894467,-0.37646204178075254,14.32495009905433,7.056930416640676,8.199881946629208,2.1466155618221436,10.814397578525497,98.68508520193913,1.3149147980608653,0.0,71.19985623972016
DATASET_1,left_cheek,chin,filtered,6,432,5.650429797082671,0.8112373235681996,3.1500228183532153,23.203401730042554,12.373496980406411,15.814252737209026,9.694022106777181,19.452094549578312,88.23222835088787,11.767771649112122,0.3875968992248062,82.37746924617186
DATASET_1,left_cheek,chin,unfiltered,3,178,1.5036235413834476,0.8223355530020224,4.7703550465617655,14.68092417274125,8.759202474945097,11.951270326011334,6.104642421582882,13.29752279909104,95.65217391304348,4.3478260869565215,0.0,81.72792357574967
DATASET_1,left_cheek,right_cheek,filtered,7,527,-3.3211333843340185,0.8507900631313322,0.05976804140699343,18.427822530075638,9.290332501372323,12.408418764744232,4.391696298879209,13.351786611616552,94.00769554716491,5.992304452835079,0.18315018315018314,86.3926587696374
DATASET_1,left_cheek,right_cheek,unfiltered,5,381,-0.4232112684048772,0.7715930102866416,-1.0472143900881765,15.676960252931984,7.855968530485351,10.861484281814018,4.262030388763668,11.016182577769653,95.83333333333333,4.166666666666667,0.0,58.4717299219403
