dataset,video_id,roi_a,roi_b,mode,gt_hr_bpm,global_lag_ms_precalc,global_r_precalc,global_lag_ms_refined,global_r_refined,n_windows,median_residual_lag_ms,iqr_residual_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,rms_residual_lag_ms,median_r,pct_windows_|lag|<=1frame,pct_windows_|lag|>1frame,pct_windows_|lag|>2frames,pct_windows_r>=0.8
DATASET_1,10-gt,forehead,chin,filtered,72.40833959429001,33.333333333333336,0.9382145949912509,33.333333333333336,0.9382145949912509,35,66.66666666666667,33.33333333333333,66.66666666666667,81.9047619047619,71.42857142857143,84.32740427115678,0.94455408581423,0.0,100.0,40.0,100.0
DATASET_1,10-gt,forehead,chin,unfiltered,72.40833959429001,33.333333333333336,0.8829055134922558,33.333333333333336,0.8829055134922558,35,66.66666666666667,33.33333333333333,66.66666666666667,81.9047619047619,71.42857142857143,84.32740427115678,0.8881374579527196,0.0,100.0,40.0,100.0
DATASET_1,10-gt,forehead,left_cheek,filtered,72.40833959429001,33.333333333333336,0.9526062768112152,33.333333333333336,0.9526062768112152,35,66.66666666666667,16.66666666666667,66.66666666666667,75.23809523809524,69.04761904761905,76.63560447348134,0.9465724992758582,0.0,100.0,25.71428571428571,100.0
DATASET_1,10-gt,forehead,left_cheek,unfiltered,72.40833959429001,33.333333333333336,0.9126095992930312,33.333333333333336,0.9126095992930312,35,66.66666666666667,0.0,66.66666666666667,69.52380952380953,69.04761904761905,70.14723744122017,0.8959655656596742,0.0,100.0,8.571428571428571,100.0
DATASET_1,10-gt,forehead,right_cheek,filtered,72.40833959429001,66.66666666666667,0.9623072487138931,66.66666666666667,0.9623072487138931,35,133.33333333333334,33.33333333333334,133.33333333333334,121.90476190476191,130.95238095238096,122.92725943057185,0.9412087520831387,0.0,100.0,100.0,100.0
DATASET_1,10-gt,forehead,right_cheek,unfiltered,72.40833959429001,66.66666666666667,0.8997683661220298,66.66666666666667,0.8997683661220298,35,100.0,33.33333333333334,100.0,113.33333333333334,102.38095238095238,114.50376024878446,0.8782912835364971,0.0,100.0,100.0,100.0
DATASET_1,10-gt,left_cheek,chin,filtered,72.40833959429001,0.0,0.9207112744572375,0.0,0.9207112744572375,35,0.0,0.0,0.0,5.714285714285714,2.380952380952381,13.801311186847085,0.9280435116794795,100.0,0.0,0.0,100.0
DATASET_1,10-gt,left_cheek,chin,unfiltered,72.40833959429001,0.0,0.8516085339793825,0.0,0.8516085339793825,37,0.0,0.0,0.0,3.6036036036036037,2.380952380952381,10.95993248702382,0.8606152352803538,100.0,0.0,0.0,91.8918918918919
DATASET_1,10-gt,left_cheek,right_cheek,filtered,72.40833959429001,0.0,0.9401462449544409,0.0,0.9401462449544409,35,0.0,0.0,0.0,3.8095238095238098,2.380952380952381,11.268723396380222,0.9413886748912335,100.0,0.0,0.0,100.0
DATASET_1,10-gt,left_cheek,right_cheek,unfiltered,72.40833959429001,0.0,0.8661369383855764,0.0,0.8661369383855764,37,0.0,0.0,0.0,7.207207207207207,2.380952380952381,15.499685165842573,0.859553245851227,100.0,0.0,0.0,100.0
DATASET_1,10-gt,right_cheek,chin,filtered,72.40833959429001,0.0,0.919089320180946,0.0,0.919089320180946,35,0.0,33.333333333333336,33.333333333333336,19.04761904761905,30.952380952380953,25.197631533948485,0.9378992967820609,100.0,0.0,0.0,100.0
DATASET_1,10-gt,right_cheek,chin,unfiltered,72.40833959429001,0.0,0.834392949521557,0.0,0.834392949521557,36,0.0,33.333333333333336,33.333333333333336,18.518518518518523,30.952380952380953,24.84519974999766,0.8482908267450784,100.0,0.0,0.0,100.0
DATASET_1,11-gt,forehead,chin,filtered,77.70466840312562,33.333333333333336,0.8780166797692951,33.333333333333336,0.8780166797692951,71,66.66666666666667,0.0,66.66666666666667,59.62441314553991,70.83333333333333,61.66698388447786,0.9142031614101352,23.943661971830984,76.05633802816901,2.8169014084507045,83.09859154929578
DATASET_1,11-gt,forehead,chin,unfiltered,77.70466840312562,33.333333333333336,0.8035767872284608,33.333333333333336,0.8035767872284608,71,66.66666666666667,0.0,66.66666666666667,59.62441314553991,70.83333333333333,61.66698388447785,0.8498389747206312,23.943661971830984,76.05633802816901,2.8169014084507045,74.64788732394366
DATASET_1,11-gt,forehead,left_cheek,filtered,77.70466840312562,33.333333333333336,0.9388577451489816,33.333333333333336,0.9388577451489816,71,33.333333333333336,33.333333333333336,33.333333333333336,47.417840375586856,37.5,52.33215213522995,0.9501346922323782,67.6056338028169,32.3943661971831,9.859154929577464,100.0
DATASET_1,11-gt,forehead,left_cheek,unfiltered,77.70466840312562,0.0,0.8994861035402665,0.0,0.8994861035402665,71,0.0,33.333333333333336,0.0,11.267605633802818,4.166666666666667,21.667569500871977,0.9096961283002565,95.77464788732394,4.225352112676056,0.0,91.54929577464789
DATASET_1,11-gt,forehead,right_cheek,filtered,77.70466840312562,33.333333333333336,0.9028851483335313,33.333333333333336,0.9028851483335313,71,66.66666666666667,33.333333333333336,66.66666666666667,50.70422535211268,64.58333333333334,53.36853298516876,0.9218039276204302,47.88732394366197,52.112676056338024,0.0,100.0
DATASET_1,11-gt,forehead,right_cheek,unfiltered,77.70466840312562,33.333333333333336,0.8069691331288742,33.333333333333336,0.8069691331288742,71,33.333333333333336,33.333333333333336,33.333333333333336,48.82629107981221,35.41666666666667,51.579132270318375,0.8322924644842878,53.52112676056338,46.478873239436616,0.0,77.46478873239437
