roi_a,roi_b,mode,videos,n_windows,median_global_lag_ms,median_global_r,median_residual_lag_ms,median_iqr_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,median_rms_residual_lag_ms,mean_pct_within_1frame,mean_pct_high_r
forehead,chin,filtered,8,506,17.460131116392425,0.7580097690002849,0.14648237896556593,39.62465472231178,21.48295779112103,26.085703061026287,7.778601128578082,27.480548071279863,43.72943138132242,59.26426400312176
forehead,chin,unfiltered,8,665,10.64040886432413,0.6433423914804636,-0.7136935733261204,20.39465196149545,8.00294021203577,16.097182016108825,4.130021838024948,17.956026047900217,64.54890768481958,12.06167570925075
forehead,left_cheek,filtered,7,454,21.668746106047188,0.7945143712211233,-0.7769119676077038,28.953539135940183,15.19070906327918,19.998047173728388,3.8915720301604777,20.32160363558595,52.89101085709518,54.66379821573711
forehead,left_cheek,unfiltered,8,665,9.348707149229618,0.6387455116739174,0.15667924815619588,19.607795766009605,9.442624770628093,14.681151250852,3.4032903215064696,19.774380202940275,68.7425832092012,3.399884259259259
forehead,right_cheek,filtered,9,558,19.299064361017905,0.7658671050444859,-1.015958675209309,23.820082768296775,10.744818966556302,18.947827205790237,5.273668174957128,20.776470092123464,61.88202740443887,45.1222645457007
forehead,right_cheek,unfiltered,9,753,6.563716540284048,0.5752679919186453,-0.1704181191924133,18.86019533374797,9.483392599311458,18.21546015225206,4.051638199479582,23.231402393495774,65.4705930657784,2.068830193830194
left_cheek,chin,filtered,7,491,-5.109283822023987,0.7557797260561993,-0.22899373389722774,28.31399013227721,14.785636514357314,22.98845933162436,5.144686858128367,25.09748472120423,47.893607171007275,42.18795250536435
left_cheek,chin,unfiltered,6,602,-0.8609115729508511,0.5486606381413115,-0.22566184826217828,32.84327948974249,16.670009172839293,20.712441492710347,4.0631412509737395,29.452480319438877,49.88538725019206,0.0
left_cheek,right_cheek,filtered,7,491,3.119537675309836,0.7971990398828598,0.7929436771018464,26.603976490373114,13.54023971319768,19.782693451454204,4.594887870680625,24.18587064589395,59.50133246558677,46.819080509553835
left_cheek,right_cheek,unfiltered,6,610,3.5333394680518397,0.6196061869070097,0.5268502941706998,23.898925706890317,10.293975840473612,16.439576246801522,3.4956920083100407,22.034064956817275,63.458903954663036,5.304091926450138
right_cheek,chin,filtered,7,457,0.07345616774454555,0.7501512082543424,3.302793239212395,34.506888886001704,16.350580072168935,28.7893308648153,5.084828270676458,27.04580016967634,43.371038109649575,36.49524741158671
right_cheek,chin,unfiltered,5,493,12.823403070274669,0.5497396610430602,2.71480610206097,31.68559107869451,15.771875807615979,21.623730693312844,4.197219614238693,28.585497866285664,52.69663873025112,1.9924798581825265
