roi_a,roi_b,mode,videos,n_windows,median_global_lag_ms,median_global_r,median_residual_lag_ms,median_iqr_lag_ms,median_abs_residual_lag_ms,mean_abs_residual_lag_ms,mode_abs_residual_lag_ms,median_rms_residual_lag_ms,mean_pct_within_1frame,mean_pct_over_1frame,mean_pct_over_2frames,mean_pct_high_r
forehead,chin,filtered,7,427,16.666666666666668,0.871020627178052,33.333333333333336,33.333333333333336,33.333333333333336,40.47619047619048,33.333333333333336,50.0,33.098185914798925,66.90181408520107,41.74602662786952,78.26850260902222
forehead,chin,unfiltered,3,212,16.666666666666668,0.7548886806626791,16.666666666666668,16.666666666666668,16.666666666666668,22.222222222222225,16.666666666666668,33.333333333333336,58.636966727903655,41.36303327209635,15.01610305958132,31.336610646163617
forehead,left_cheek,filtered,7,417,16.666666666666668,0.8006659431853392,33.333333333333336,33.333333333333336,33.333333333333336,30.952380952380956,16.666666666666668,33.333333333333336,44.754124631897525,55.245875368102475,32.420899237994874,67.06891227160395
forehead,left_cheek,unfiltered,1,69,0.0,0.7453610709308438,0.0,0.0,0.0,16.666666666666668,0.0,16.666666666666668,84.05797101449275,15.942028985507244,8.695652173913043,28.985507246376812
forehead,right_cheek,filtered,8,469,16.666666666666668,0.7856609188817993,33.333333333333336,33.333333333333336,33.333333333333336,37.5,41.66666666666667,41.66666666666667,36.15609788688904,63.843902113110964,45.207484759661114,58.205821030437804
forehead,right_cheek,unfiltered,2,141,8.333333333333334,0.7289089993882361,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,16.666666666666668,25.0,63.224637681159415,36.77536231884058,15.217391304347828,9.23913043478261
left_cheek,chin,filtered,6,375,8.333333333333334,0.7944863016879042,8.333333333333334,33.333333333333336,16.666666666666668,25.0,16.666666666666668,33.333333333333336,53.4069700028953,46.5930299971047,19.646597193286496,56.65001696410864
left_cheek,right_cheek,filtered,7,440,0.0,0.8033411321986196,0.0,16.666666666666668,16.666666666666668,21.428571428571427,0.0,16.666666666666668,66.86376522660781,33.13623477339218,16.133712812102335,55.529674061083234
right_cheek,chin,filtered,6,380,0.0,0.7781914437442956,8.333333333333334,33.333333333333336,33.333333333333336,33.333333333333336,25.0,33.333333333333336,45.023799417702925,54.976200582297075,33.5669930720132,48.4229604379235
