frame_index,timestamp_unix,timestamp_iso
0,1765396458.436884,2025-12-10T19:54:18.436889+00:00
1,1765396458.455005,2025-12-10T19:54:18.455015+00:00
2,1765396458.4739761,2025-12-10T19:54:18.473981+00:00
3,1765396458.493523,2025-12-10T19:54:18.493530+00:00
4,1765396458.5144472,2025-12-10T19:54:18.514452+00:00
5,1765396458.534962,2025-12-10T19:54:18.534967+00:00
6,1765396458.55586,2025-12-10T19:54:18.555875+00:00
7,1765396458.5767791,2025-12-10T19:54:18.576783+00:00
8,1765396458.5975602,2025-12-10T19:54:18.597562+00:00
9,1765396458.618423,2025-12-10T19:54:18.618427+00:00
10,1765396458.6392908,2025-12-10T19:54:18.639295+00:00
11,1765396458.658546,2025-12-10T19:54:18.658550+00:00
12,1765396458.679213,2025-12-10T19:54:18.679218+00:00
13,1765396458.700122,2025-12-10T19:54:18.700124+00:00
14,1765396458.71923,2025-12-10T19:54:18.719231+00:00
15,1765396458.737419,2025-12-10T19:54:18.737421+00:00
16,1765396458.758316,2025-12-10T19:54:18.758318+00:00
17,1765396458.779178,2025-12-10T19:54:18.779178+00:00
18,1765396458.800035,2025-12-10T19:54:18.800036+00:00
19,1765396458.817049,2025-12-10T19:54:18.817051+00:00
20,1765396458.8371992,2025-12-10T19:54:18.837200+00:00
21,1765396458.858104,2025-12-10T19:54:18.858109+00:00
22,1765396458.876333,2025-12-10T19:54:18.876339+00:00
23,1765396458.895675,2025-12-10T19:54:18.895682+00:00
24,1765396458.913665,2025-12-10T19:54:18.913669+00:00
25,1765396458.934591,2025-12-10T19:54:18.934595+00:00
26,1765396458.952968,2025-12-10T19:54:18.952974+00:00
27,1765396458.974095,2025-12-10T19:54:18.974098+00:00
28,1765396458.991104,2025-12-10T19:54:18.991107+00:00
29,1765396459.011783,2025-12-10T19:54:19.011785+00:00
30,1765396459.02926,2025-12-10T19:54:19.029263+00:00
31,1765396459.0476968,2025-12-10T19:54:19.047700+00:00
32,1765396459.065505,2025-12-10T19:54:19.065507+00:00
