frame_index,timestamp_unix,timestamp_iso
0,1765926971.674382,2025-12-16T23:16:11.674387+00:00
1,1765926971.6952782,2025-12-16T23:16:11.695283+00:00
2,1765926971.715225,2025-12-16T23:16:11.715232+00:00
3,1765926971.736118,2025-12-16T23:16:11.736125+00:00
4,1765926971.757004,2025-12-16T23:16:11.757031+00:00
5,1765926971.777919,2025-12-16T23:16:11.777924+00:00
6,1765926971.798801,2025-12-16T23:16:11.798804+00:00
7,1765926971.817916,2025-12-16T23:16:11.817917+00:00
8,1765926971.834629,2025-12-16T23:16:11.834632+00:00
9,1765926971.855499,2025-12-16T23:16:11.855507+00:00
10,1765926971.87641,2025-12-16T23:16:11.876416+00:00
11,1765926971.893209,2025-12-16T23:16:11.893214+00:00
12,1765926971.912834,2025-12-16T23:16:11.912843+00:00
13,1765926971.9337778,2025-12-16T23:16:11.933803+00:00
14,1765926971.951604,2025-12-16T23:16:11.951605+00:00
15,1765926971.968328,2025-12-16T23:16:11.968329+00:00
16,1765926971.988959,2025-12-16T23:16:11.988960+00:00
17,1765926972.009595,2025-12-16T23:16:12.009597+00:00
18,1765926972.0304818,2025-12-16T23:16:12.030484+00:00
19,1765926972.05137,2025-12-16T23:16:12.051372+00:00
20,1765926972.068651,2025-12-16T23:16:12.068652+00:00
21,1765926972.085408,2025-12-16T23:16:12.085409+00:00
22,1765926972.106272,2025-12-16T23:16:12.106272+00:00
23,1765926972.124663,2025-12-16T23:16:12.124664+00:00
24,1765926972.1414552,2025-12-16T23:16:12.141458+00:00
25,1765926972.160686,2025-12-16T23:16:12.160690+00:00
26,1765926972.177431,2025-12-16T23:16:12.177433+00:00
27,1765926972.195596,2025-12-16T23:16:12.195597+00:00
28,1765926972.216466,2025-12-16T23:16:12.216467+00:00
29,1765926972.237331,2025-12-16T23:16:12.237334+00:00
30,1765926972.2582788,2025-12-16T23:16:12.258284+00:00
31,1765926972.275507,2025-12-16T23:16:12.275509+00:00
32,1765926972.294475,2025-12-16T23:16:12.294481+00:00
33,1765926972.3153658,2025-12-16T23:16:12.315369+00:00
34,1765926972.334694,2025-12-16T23:16:12.334696+00:00
35,1765926972.3556092,2025-12-16T23:16:12.355615+00:00
36,1765926972.3758569,2025-12-16T23:16:12.375864+00:00
37,1765926972.396159,2025-12-16T23:16:12.396166+00:00
38,1765926972.413434,2025-12-16T23:16:12.413441+00:00
39,1765926972.430665,2025-12-16T23:16:12.430670+00:00
40,1765926972.4503329,2025-12-16T23:16:12.450337+00:00
41,1765926972.4712808,2025-12-16T23:16:12.471285+00:00
42,1765926972.4905002,2025-12-16T23:16:12.490502+00:00
43,1765926972.516115,2025-12-16T23:16:12.516126+00:00
44,1765926972.533409,2025-12-16T23:16:12.533417+00:00
45,1765926972.551402,2025-12-16T23:16:12.551409+00:00
46,1765926972.572334,2025-12-16T23:16:12.572343+00:00
47,1765926972.589786,2025-12-16T23:16:12.589845+00:00
48,1765926972.610803,2025-12-16T23:16:12.610807+00:00
49,1765926972.631714,2025-12-16T23:16:12.631722+00:00
50,1765926972.652354,2025-12-16T23:16:12.652357+00:00
51,1765926972.673426,2025-12-16T23:16:12.673433+00:00
52,1765926972.692068,2025-12-16T23:16:12.692072+00:00
53,1765926972.7107358,2025-12-16T23:16:12.710750+00:00
54,1765926972.729341,2025-12-16T23:16:12.729349+00:00
55,1765926972.758802,2025-12-16T23:16:12.758808+00:00
56,1765926972.777055,2025-12-16T23:16:12.777065+00:00
57,1765926972.796135,2025-12-16T23:16:12.796140+00:00
58,1765926972.814201,2025-12-16T23:16:12.814205+00:00
59,1765926972.833007,2025-12-16T23:16:12.833013+00:00
60,1765926972.8497841,2025-12-16T23:16:12.849811+00:00
61,1765926972.866548,2025-12-16T23:16:12.866555+00:00
62,1765926972.884736,2025-12-16T23:16:12.884743+00:00
63,1765926972.905705,2025-12-16T23:16:12.905712+00:00
64,1765926972.925817,2025-12-16T23:16:12.925859+00:00
65,1765926972.9435961,2025-12-16T23:16:12.943666+00:00
66,1765926972.964181,2025-12-16T23:16:12.964219+00:00
67,1765926972.9847429,2025-12-16T23:16:12.984760+00:00
68,1765926973.00151,2025-12-16T23:16:13.001515+00:00
69,1765926973.022403,2025-12-16T23:16:13.022415+00:00
70,1765926973.0433369,2025-12-16T23:16:13.043341+00:00
71,1765926973.0636191,2025-12-16T23:16:13.063624+00:00
72,1765926973.0836842,2025-12-16T23:16:13.083691+00:00
73,1765926973.104587,2025-12-16T23:16:13.104592+00:00
74,1765926973.125623,2025-12-16T23:16:13.125629+00:00
75,1765926973.146562,2025-12-16T23:16:13.146565+00:00
76,1765926973.167458,2025-12-16T23:16:13.167462+00:00
77,1765926973.188361,2025-12-16T23:16:13.188365+00:00
78,1765926973.207197,2025-12-16T23:16:13.207222+00:00
79,1765926973.226323,2025-12-16T23:16:13.226328+00:00
80,1765926973.246667,2025-12-16T23:16:13.246670+00:00
81,1765926973.267539,2025-12-16T23:16:13.267543+00:00
82,1765926973.284568,2025-12-16T23:16:13.284570+00:00
83,1765926973.305429,2025-12-16T23:16:13.305431+00:00
84,1765926973.325103,2025-12-16T23:16:13.325106+00:00
85,1765926973.345969,2025-12-16T23:16:13.345972+00:00
86,1765926973.36687,2025-12-16T23:16:13.366872+00:00
87,1765926973.385736,2025-12-16T23:16:13.385741+00:00
88,1765926973.4057212,2025-12-16T23:16:13.405724+00:00
89,1765926973.426302,2025-12-16T23:16:13.426306+00:00
90,1765926973.44718,2025-12-16T23:16:13.447186+00:00
91,1765926973.465931,2025-12-16T23:16:13.465937+00:00
92,1765926973.4828181,2025-12-16T23:16:13.482823+00:00
93,1765926973.499897,2025-12-16T23:16:13.499903+00:00
94,1765926973.5170891,2025-12-16T23:16:13.517094+00:00
95,1765926973.5351198,2025-12-16T23:16:13.535125+00:00
96,1765926973.5544362,2025-12-16T23:16:13.554442+00:00
97,1765926973.5753431,2025-12-16T23:16:13.575357+00:00
98,1765926973.596277,2025-12-16T23:16:13.596283+00:00
99,1765926973.617186,2025-12-16T23:16:13.617190+00:00
100,1765926973.638098,2025-12-16T23:16:13.638108+00:00
101,1765926973.6552289,2025-12-16T23:16:13.655234+00:00
102,1765926973.676137,2025-12-16T23:16:13.676141+00:00
103,1765926973.6970508,2025-12-16T23:16:13.697066+00:00
104,1765926973.717174,2025-12-16T23:16:13.717175+00:00
105,1765926973.734574,2025-12-16T23:16:13.734575+00:00
106,1765926973.7543218,2025-12-16T23:16:13.754324+00:00
107,1765926973.77521,2025-12-16T23:16:13.775212+00:00
108,1765926973.792979,2025-12-16T23:16:13.792983+00:00
109,1765926973.811882,2025-12-16T23:16:13.811889+00:00
110,1765926973.8306618,2025-12-16T23:16:13.830669+00:00
111,1765926973.8515232,2025-12-16T23:16:13.851524+00:00
112,1765926973.8682618,2025-12-16T23:16:13.868267+00:00
113,1765926973.885671,2025-12-16T23:16:13.885672+00:00
114,1765926973.906556,2025-12-16T23:16:13.906561+00:00
115,1765926973.927453,2025-12-16T23:16:13.927456+00:00
116,1765926973.94835,2025-12-16T23:16:13.948353+00:00
117,1765926973.969238,2025-12-16T23:16:13.969241+00:00
118,1765926973.986623,2025-12-16T23:16:13.986626+00:00
119,1765926974.007529,2025-12-16T23:16:14.007537+00:00
120,1765926974.02459,2025-12-16T23:16:14.024597+00:00
121,1765926974.042061,2025-12-16T23:16:14.042064+00:00
122,1765926974.0629609,2025-12-16T23:16:14.062967+00:00
123,1765926974.0836842,2025-12-16T23:16:14.083688+00:00
124,1765926974.1019661,2025-12-16T23:16:14.101970+00:00
125,1765926974.122845,2025-12-16T23:16:14.122849+00:00
126,1765926974.139749,2025-12-16T23:16:14.139752+00:00
127,1765926974.1576698,2025-12-16T23:16:14.157678+00:00
128,1765926974.176374,2025-12-16T23:16:14.176377+00:00
129,1765926974.1972558,2025-12-16T23:16:14.197258+00:00
130,1765926974.217144,2025-12-16T23:16:14.217145+00:00
