frame_index,timestamp_unix,timestamp_iso
0,1765395640.775786,2025-12-10T19:40:40.775790+00:00
1,1765395640.796669,2025-12-10T19:40:40.796673+00:00
2,1765395640.816839,2025-12-10T19:40:40.816843+00:00
3,1765395640.83773,2025-12-10T19:40:40.837733+00:00
4,1765395640.858599,2025-12-10T19:40:40.858603+00:00
5,1765395640.879462,2025-12-10T19:40:40.879466+00:00
6,1765395640.900327,2025-12-10T19:40:40.900330+00:00
7,1765395640.921191,2025-12-10T19:40:40.921192+00:00
8,1765395640.942048,2025-12-10T19:40:40.942067+00:00
9,1765395640.959179,2025-12-10T19:40:40.959184+00:00
10,1765395640.9800582,2025-12-10T19:40:40.980060+00:00
11,1765395641.000926,2025-12-10T19:40:41.000929+00:00
12,1765395641.021416,2025-12-10T19:40:41.021420+00:00
13,1765395641.042314,2025-12-10T19:40:41.042319+00:00
14,1765395641.063215,2025-12-10T19:40:41.063217+00:00
15,1765395641.084075,2025-12-10T19:40:41.084079+00:00
16,1765395641.1037152,2025-12-10T19:40:41.103718+00:00
17,1765395641.124588,2025-12-10T19:40:41.124588+00:00
18,1765395641.142611,2025-12-10T19:40:41.142612+00:00
19,1765395641.1634681,2025-12-10T19:40:41.163469+00:00
20,1765395641.183552,2025-12-10T19:40:41.183556+00:00
21,1765395641.201042,2025-12-10T19:40:41.201046+00:00
22,1765395641.221942,2025-12-10T19:40:41.221945+00:00
23,1765395641.242168,2025-12-10T19:40:41.242171+00:00
24,1765395641.260531,2025-12-10T19:40:41.260533+00:00
25,1765395641.281423,2025-12-10T19:40:41.281426+00:00
26,1765395641.299228,2025-12-10T19:40:41.299249+00:00
27,1765395641.318149,2025-12-10T19:40:41.318161+00:00
28,1765395641.337358,2025-12-10T19:40:41.337362+00:00
29,1765395641.3573701,2025-12-10T19:40:41.357374+00:00
30,1765395641.378104,2025-12-10T19:40:41.378107+00:00
31,1765395641.398984,2025-12-10T19:40:41.398986+00:00
32,1765395641.419584,2025-12-10T19:40:41.419589+00:00
33,1765395641.44047,2025-12-10T19:40:41.440471+00:00
34,1765395641.459324,2025-12-10T19:40:41.459327+00:00
35,1765395641.4801972,2025-12-10T19:40:41.480198+00:00
36,1765395641.501067,2025-12-10T19:40:41.501072+00:00
37,1765395641.519795,2025-12-10T19:40:41.519798+00:00
38,1765395641.538322,2025-12-10T19:40:41.538324+00:00
39,1765395641.5592241,2025-12-10T19:40:41.559902+00:00
40,1765395641.5800982,2025-12-10T19:40:41.580109+00:00
41,1765395641.601079,2025-12-10T19:40:41.601085+00:00
42,1765395641.618976,2025-12-10T19:40:41.618979+00:00
43,1765395641.635989,2025-12-10T19:40:41.635998+00:00
44,1765395641.652849,2025-12-10T19:40:41.652867+00:00
45,1765395641.669844,2025-12-10T19:40:41.669850+00:00
46,1765395641.689826,2025-12-10T19:40:41.689834+00:00
47,1765395641.708871,2025-12-10T19:40:41.708878+00:00
48,1765395641.7256389,2025-12-10T19:40:41.725640+00:00
49,1765395641.744768,2025-12-10T19:40:41.744773+00:00
50,1765395641.765409,2025-12-10T19:40:41.765413+00:00
51,1765395641.783433,2025-12-10T19:40:41.783437+00:00
52,1765395641.800531,2025-12-10T19:40:41.800533+00:00
53,1765395641.8210921,2025-12-10T19:40:41.821101+00:00
54,1765395641.839028,2025-12-10T19:40:41.839031+00:00
55,1765395641.8557818,2025-12-10T19:40:41.855790+00:00
56,1765395641.876693,2025-12-10T19:40:41.876701+00:00
57,1765395641.8961039,2025-12-10T19:40:41.896109+00:00
58,1765395641.916998,2025-12-10T19:40:41.917004+00:00
59,1765395641.934037,2025-12-10T19:40:41.934043+00:00
60,1765395641.954381,2025-12-10T19:40:41.954388+00:00
61,1765395641.971476,2025-12-10T19:40:41.971482+00:00
62,1765395641.992358,2025-12-10T19:40:41.992362+00:00
63,1765395642.013236,2025-12-10T19:40:42.013242+00:00
64,1765395642.031441,2025-12-10T19:40:42.031446+00:00
65,1765395642.050945,2025-12-10T19:40:42.050949+00:00
66,1765395642.0713909,2025-12-10T19:40:42.071397+00:00
67,1765395642.0898051,2025-12-10T19:40:42.089811+00:00
68,1765395642.108869,2025-12-10T19:40:42.108876+00:00
69,1765395642.126016,2025-12-10T19:40:42.126024+00:00
70,1765395642.1458602,2025-12-10T19:40:42.145865+00:00
71,1765395642.166461,2025-12-10T19:40:42.166468+00:00
72,1765395642.195533,2025-12-10T19:40:42.195539+00:00
73,1765395642.219768,2025-12-10T19:40:42.219772+00:00
74,1765395642.238985,2025-12-10T19:40:42.238990+00:00
75,1765395642.25986,2025-12-10T19:40:42.259863+00:00
76,1765395642.280736,2025-12-10T19:40:42.280740+00:00
77,1765395642.297525,2025-12-10T19:40:42.297529+00:00
78,1765395642.318399,2025-12-10T19:40:42.318401+00:00
79,1765395642.337331,2025-12-10T19:40:42.337337+00:00
80,1765395642.3582232,2025-12-10T19:40:42.358227+00:00
81,1765395642.377528,2025-12-10T19:40:42.377529+00:00
82,1765395642.396459,2025-12-10T19:40:42.396460+00:00
83,1765395642.417314,2025-12-10T19:40:42.417315+00:00
84,1765395642.4381702,2025-12-10T19:40:42.438174+00:00
85,1765395642.4587798,2025-12-10T19:40:42.458784+00:00
86,1765395642.479669,2025-12-10T19:40:42.479672+00:00
87,1765395642.500541,2025-12-10T19:40:42.500544+00:00
88,1765395642.52126,2025-12-10T19:40:42.521264+00:00
89,1765395642.540204,2025-12-10T19:40:42.540210+00:00
90,1765395642.559479,2025-12-10T19:40:42.559482+00:00
91,1765395642.580352,2025-12-10T19:40:42.580356+00:00
92,1765395642.6012359,2025-12-10T19:40:42.601247+00:00
93,1765395642.618923,2025-12-10T19:40:42.618928+00:00
94,1765395642.639811,2025-12-10T19:40:42.639816+00:00
95,1765395642.660387,2025-12-10T19:40:42.660391+00:00
96,1765395642.6812859,2025-12-10T19:40:42.681290+00:00
97,1765395642.7018838,2025-12-10T19:40:42.701887+00:00
98,1765395642.7227678,2025-12-10T19:40:42.722774+00:00
99,1765395642.7425249,2025-12-10T19:40:42.742531+00:00
100,1765395642.763425,2025-12-10T19:40:42.763428+00:00
101,1765395642.78164,2025-12-10T19:40:42.781647+00:00
102,1765395642.80093,2025-12-10T19:40:42.800932+00:00
103,1765395642.821803,2025-12-10T19:40:42.821809+00:00
104,1765395642.838681,2025-12-10T19:40:42.838685+00:00
105,1765395642.858943,2025-12-10T19:40:42.858948+00:00
106,1765395642.8798678,2025-12-10T19:40:42.879873+00:00
107,1765395642.9004679,2025-12-10T19:40:42.900473+00:00
108,1765395642.9213681,2025-12-10T19:40:42.921370+00:00
109,1765395642.942223,2025-12-10T19:40:42.942224+00:00
110,1765395642.963142,2025-12-10T19:40:42.963142+00:00
111,1765395642.983998,2025-12-10T19:40:42.983999+00:00
112,1765395643.0048761,2025-12-10T19:40:43.004876+00:00
113,1765395643.025728,2025-12-10T19:40:43.025731+00:00
114,1765395643.0454211,2025-12-10T19:40:43.045427+00:00
115,1765395643.064807,2025-12-10T19:40:43.064812+00:00
116,1765395643.083379,2025-12-10T19:40:43.083383+00:00
117,1765395643.100824,2025-12-10T19:40:43.100833+00:00
118,1765395643.121747,2025-12-10T19:40:43.121751+00:00
119,1765395643.14255,2025-12-10T19:40:43.142552+00:00
120,1765395643.1592891,2025-12-10T19:40:43.159289+00:00
121,1765395643.177459,2025-12-10T19:40:43.177462+00:00
122,1765395643.1958451,2025-12-10T19:40:43.195846+00:00
123,1765395643.216702,2025-12-10T19:40:43.216705+00:00
124,1765395643.2375739,2025-12-10T19:40:43.237579+00:00
125,1765395643.258624,2025-12-10T19:40:43.258628+00:00
126,1765395643.2791848,2025-12-10T19:40:43.279189+00:00
127,1765395643.3000588,2025-12-10T19:40:43.300064+00:00
128,1765395643.317642,2025-12-10T19:40:43.317643+00:00
129,1765395643.3385081,2025-12-10T19:40:43.338511+00:00
130,1765395643.359008,2025-12-10T19:40:43.359010+00:00
131,1765395643.3759758,2025-12-10T19:40:43.375980+00:00
132,1765395643.396492,2025-12-10T19:40:43.396494+00:00
133,1765395643.417294,2025-12-10T19:40:43.417297+00:00
134,1765395643.435643,2025-12-10T19:40:43.435645+00:00
135,1765395643.456501,2025-12-10T19:40:43.456506+00:00
136,1765395643.476204,2025-12-10T19:40:43.476211+00:00
137,1765395643.4956968,2025-12-10T19:40:43.495703+00:00
138,1765395643.516598,2025-12-10T19:40:43.516603+00:00
139,1765395643.536094,2025-12-10T19:40:43.536101+00:00
140,1765395643.557007,2025-12-10T19:40:43.557010+00:00
141,1765395643.577893,2025-12-10T19:40:43.577894+00:00
142,1765395643.5946722,2025-12-10T19:40:43.594674+00:00
143,1765395643.6155431,2025-12-10T19:40:43.615547+00:00
144,1765395643.6364439,2025-12-10T19:40:43.636449+00:00
145,1765395643.654283,2025-12-10T19:40:43.654289+00:00
146,1765395643.672812,2025-12-10T19:40:43.672815+00:00
